ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-1004,2,2016-03-23 09:29:47,2016-03-23 15:29:47,37.74508,-122.40493,37.74705,-122.40378,0.15,Ramp to Army St/Potrero Ave - Accident.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94124,US,US/Pacific,KSFO,2016-03-23 09:56:00,55.9,,75.0,30.33,10.0,Calm,,,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1028,2,2016-03-23 16:52:59,2016-03-23 22:52:59,37.769009,-122.405144,37.769009,-122.405144,0.0,At US-101 - Accident.,,San Francisco-Oakland Bay Bridge,R,San Francisco,San Francisco,CA,94103,US,US/Pacific,KSFO,2016-03-23 16:56:00,61.0,,62.0,30.3,10.0,West,20.7,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1039,2,2016-03-23 20:21:57,2016-03-24 02:21:57,37.80791,-122.3674,37.80791,-122.3674,0.0,At Treasure Island Rd - Accident.,,I-80 W,R,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2016-03-23 19:53:00,59.0,,67.0,30.29,10.0,West,12.7,,Scattered Clouds,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-1054,2,2016-03-24 08:51:16,2016-03-24 14:51:16,37.78606,-122.3909,37.7857,-122.39145,0.039,At Fremont St/Harrison St - Accident. Left lane blocked.,,I-80 W,R,San Francisco,San Francisco,CA,94105,US,US/Pacific,KOAK,2016-03-24 08:53:00,55.0,,80.0,30.27,10.0,SE,6.9,,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1129,2,2016-03-25 15:04:17,2016-03-25 21:04:17,37.76215,-122.40566,37.76273,-122.40531,0.044,At Vermont St - Accident.,,James Lick Fwy S,R,San Francisco,San Francisco,CA,94110,US,US/Pacific,KSFO,2016-03-25 14:56:00,64.0,,58.0,30.03,10.0,West,23.0,,Scattered Clouds,True,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1131,2,2016-03-25 15:13:02,2016-03-25 21:21:48,37.76215,-122.40566,37.76273,-122.40531,0.044,At Vermont St - Accident.,,James Lick Fwy S,R,San Francisco,San Francisco,CA,94110,US,US/Pacific,KSFO,2016-03-25 14:56:00,64.0,,58.0,30.03,10.0,West,23.0,,Scattered Clouds,True,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1133,2,2016-03-25 15:50:50,2016-03-25 21:50:50,37.75232000000001,-122.40303,37.74800000000001,-122.40425,0.306,At Army St/Potrero Ave - Accident.,,James Lick Fwy S,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2016-03-25 15:53:00,66.0,,54.0,30.0,10.0,West,17.3,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1176,3,2016-03-28 07:10:56,2016-03-28 13:10:56,37.73706,-122.40286,37.73407,-122.41103,0.4920000000000001,At US-101 (San Francisco) - Accident. use left lane.,,John F Foran Fwy,R,San Francisco,San Francisco,CA,94124,US,US/Pacific,KSFO,2016-03-28 06:56:00,48.9,,74.0,29.99,10.0,West,18.4,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1283,2,2016-03-30 07:26:46,2016-03-30 13:26:46,37.78122000000001,-122.39795,37.77902,-122.4008,0.218,At 4th St/5th St - Accident. Left lane blocked.,,I-80 W,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2016-03-30 07:53:00,54.0,,72.0,29.99,10.0,WSW,8.1,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1302,2,2016-03-30 14:07:43,2016-03-30 20:07:43,37.808154,-122.476653,37.808156,-122.476656,0.0,At Golden Gate Brg (San Francisco) - Accident.,,Golden Gate Brg S,R,San Francisco,San Francisco,CA,94129,US,US/Pacific,KSFO,2016-03-30 13:56:00,60.1,,67.0,30.03,10.0,West,16.1,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1351,2,2016-03-31 07:56:21,2016-03-31 13:56:21,37.731995,-122.415327,37.732032,-122.41516,0.009,At US-101 (San Francisco) - Accident. Center lane blocked.,,John F Foran Fwy,R,San Francisco,San Francisco,CA,94134,US,US/Pacific,KSFO,2016-03-31 07:56:00,55.0,,83.0,30.12,10.0,West,5.8,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
